མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,719,2,1,《པེ་》《སྣར་》,ལེའུ་བཅོ་བརྒྱད་པའི་འགྲེལ་པ་བཞུགས་སོ།།,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།
,,58,3,《སྣར་》,ན།,
,730,59,1,《པེ་》《སྣར་》,m ཐམས་ཅད།,
,,60,2,《པེ་》《སྣར་》,ལ།,
,731,61,1,《པེ་》《སྣར་》,p དང་།,
,,62,2,《པེ་》《སྣར་》,བརླབ།,
,,63,3,《པེ་》《སྣར་》,པ།,
,,64,4,《པེ་》《སྣར་》,m ནི་གསང་བ།,
,,65,5,《པེ་》《སྣར་》,བས།,
,,66,6,《པེ་》《སྣར་》,m གྱི།,
,732,67,1,《པེ་》《སྣར་》,m ཀྱི།,
,,68,2,《པེ་》《སྣར་》,བསྡུས།,
,,69,3,《པེ་》《སྣར་》,p བསྡུ་བ་དང་།,
,,70,4,《པེ་》《སྣར་》,m སེམས་ཀྱི།,
,733,71,1,《པེ་》《སྣར་》,mདཀྱིལ།,
,,72,2,《པེ་》《སྣར་》,p མོ་དང་།,
,,73,3,《པེ་》《སྣར་》,པས།,
,,74,4,《པེ་》《སྣར་》,པ།,
,,75,5,《པེ་》《སྣར་》,པ་ནི།,
,,76,6,《པེ་》《སྣར་》,བ་ནི།,
,,77,7,《པེ་》《སྣར་》,པ་སྟེ།,
,,78,8,《པེ་》《སྣར་》,m ནོ།,
,,79,9,《པེ་》《སྣར་》,p འདུས་པ་ནི།,
,,80,10,《པེ་》《སྣར་》,བསྡུད།,
,,81,11,《པེ་》《སྣར་》,ན།,
,734,82,1,《པེ་》《སྣར་》,པོ།,
,,83,2,《པེ་》《སྣར་》,སྐུར།,
,,84,3,《པེ་》《སྣར་》,p ཀྱི།,
,,85,4,《པེ་》《སྣར་》,གི།,
,,86,5,《པེ་》《སྣར་》,དེ།,
,,87,6,《པེ་》《སྣར་》,p གསུམ།,
,,88,7,《པེ་》《སྣར་》,འབྱམས་ཀྱི།,
,,89,8,《པེ་》《སྣར་》,གྱི།,
,735,90,1,《པེ་》《སྣར་》,བཟུང་།,
,,91,2,《པེ་》《སྣར་》,འབྱམས་ཀྱི།,
,,92,3,《པེ་》《སྣར་》,སིདྷི།,
,736,93,1,《པེ་》《སྣར་》,སྐུ།,
,,94,2,《པེ་》《སྣར་》,བུ།,
,,95,3,《པེ་》《སྣར་》,སྒྲུབ།,
,,96,4,《པེ་》《སྣར་》,པ།,
,,97,༥ ༦,《པེ་》《སྣར་》,ཀྱིས།,
,,98,7,《པེ་》《སྣར་》,m ནི།,
,,99,8,《པེ་》《སྣར་》,ངེས།,
