མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
དགེ་བའི་འདོད་འཇོ།,393,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》༄༅། །དགེ་བའི་འདོད་འཇོའི་རྣམ་པར་བཤད་པ་སློབ་དཔོན་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་བཞུགས་སོ།།,
,,3,2,《པེ་》《སྣར་》,ལ་ཡ་ན།,
,,4,3,《པེ་》《སྣར་》,འཇོའོ།།,
,,5,4,《པེ་》,འཇོམ།,《སྣར་》,འཇོམས།
,394,6,1,《པེ་》《སྣར་》,༽དང་།,
,,7,2,《པེ་》《སྣར་》,༽ཞེས་བྱ་བ་ལས།,
,,8,3,《པེ་》,༼ནི་སྦྱར་བར་བྱ་ཞེས་བྱ་བ།,
,,9,4,《པེ་》《སྣར་》,༼ནི།,
,,10,5,《པེ་》《སྣར་》,ཤཱཾ་ཏི།,
,,11,6,《པེ་》《སྣར་》,སིད་དྷི།,
,,12,7,《པེ་》《སྣར་》,༼ཊ།,
,,13,8,《པེ་》《སྣར་》,༼ལ།,
,,14,9,《པེ་》《སྣར་》,༼ལ།,
,395,15,1,《པེ་》《སྣར་》,སྱེ།,
,,16,2,《པེ་》《སྣར་》,༼ལ།,
,,17,3,《པེ་》《སྣར་》,སརྦན།
,,18,4,《པེ་》《སྣར་》,སྦྱར།
,,19,5,《པེ་》《སྣར་》,གིས།
,,20,6,《པེ་》《སྣར་》,ནི།
,,21,7,《སྣར་》,༽དེ།
,,22,8,《པེ་》《སྣར་》,ཐོབ།
,,23,9,《པེ་》《སྣར་》,༼དུ།
,,24,10,《པེ་》《སྣར་》,ན།
,,25,11,《པེ་》《སྣར་》,བྲུཾ།
,,26,12,《པེ་》《སྣར་》,ཁེནྡྲཱ།
,396,27,1,《པེ་》《སྣར་》,༼ཨོཾ།
,,28,2,《པེ་》《སྣར་》,༽ཚིནྡ།
,,29,3,《པེ་》《སྣར་》,༽ཚི།
